tau_tot,omega,g,escape_fraction_top,escape_fraction_bottom,absorbed_fraction
5.994842503189409,0.44,0.5,0.003,0.0956,0.9014
5.994842503189409,0.55,0.5,0.0042,0.1372,0.8586
5.994842503189409,0.66,0.5,0.0102,0.178,0.8118
5.994842503189409,0.77,0.5,0.0218,0.2534,0.7248
5.994842503189409,0.88,0.5,0.0518,0.3802,0.568
5.994842503189409,0.99,0.5,0.2194,0.6864,0.0942
10.0,0.0,0.5,0.0,0.0,1.0
10.0,0.11,0.5,0.0,0.0188,0.9812
10.0,0.22,0.5,0.0,0.0398,0.9602
10.0,0.33,0.5,0.0002,0.0622,0.9376
10.0,0.44,0.5,0.0002,0.0928,0.907
10.0,0.55,0.5,0.0,0.1314,0.8686
10.0,0.66,0.5,0.0012,0.1796,0.8192
10.0,0.77,0.5,0.0018,0.2622,0.736
10.0,0.88,0.5,0.0118,0.384,0.6042
10.0,0.99,0.5,0.1286,0.7162,0.1552
0.1,0.0,0.9,0.7278,0.0,0.2722
0.1,0.11,0.9,0.7396,0.0022,0.2582
0.1,0.22,0.9,0.7536,0.0086,0.2378
0.1,0.33,0.9,0.7768,0.016,0.2072
0.1,0.44,0.9,0.81,0.0158,0.1742
0.1,0.55,0.9,0.8214,0.0294,0.1492
0.1,0.66,0.9,0.8528,0.034,0.1132
0.1,0.77,0.9,0.8738,0.0424,0.0838
0.1,0.88,0.9,0.9096,0.0478,0.0426
0.1,0.99,0.9,0.9358,0.06,0.0042
0.16681005372000587,0.0,0.9,0.6172,0.0,0.3828
0.16681005372000587,0.11,0.9,0.6406,0.0038,0.3556
0.16681005372000587,0.22,0.9,0.6696,0.0102,0.3202
0.16681005372000587,0.33,0.9,0.7044,0.0152,0.2804
0.16681005372000587,0.44,0.9,0.731,0.023,0.246
0.16681005372000587,0.55,0.9,0.757,0.0298,0.2132
0.16681005372000587,0.66,0.9,0.7954,0.0374,0.1672
0.16681005372000587,0.77,0.9,0.8382,0.0518,0.11
0.16681005372000587,0.88,0.9,0.8848,0.0554,0.0598
0.16681005372000587,0.99,0.9,0.9132,0.0804,0.0064
0.2782559402207124,0.0,0.9,0.5046,0.0,0.4954
0.2782559402207124,0.11,0.9,0.5142,0.0046,0.4812
0.2782559402207124,0.22,0.9,0.543,0.0108,0.4462
0.2782559402207124,0.33,0.9,0.5974,0.0216,0.381
0.2782559402207124,0.44,0.9,0.6346,0.0248,0.3406
0.2782559402207124,0.55,0.9,0.6654,0.0392,0.2954
0.2782559402207124,0.66,0.9,0.718,0.0524,0.2296
0.2782559402207124,0.77,0.9,0.7662,0.0594,0.1744
0.2782559402207124,0.88,0.9,0.8312,0.0762,0.0926
0.2782559402207124,0.99,0.9,0.8828,0.1086,0.0086
0.46415888336127786,0.0,0.9,0.342,0.0,0.658
0.46415888336127786,0.11,0.9,0.3802,0.0066,0.6132
0.46415888336127786,0.22,0.9,0.408,0.0102,0.5818
0.46415888336127786,0.33,0.9,0.4542,0.0218,0.524
0.46415888336127786,0.44,0.9,0.4966,0.0302,0.4732
0.46415888336127786,0.55,0.9,0.5394,0.0442,0.4164
0.46415888336127786,0.66,0.9,0.5948,0.0546,0.3506
0.46415888336127786,0.77,0.9,0.671,0.0734,0.2556
0.46415888336127786,0.88,0.9,0.7524,0.0976,0.15
0.46415888336127786,0.99,0.9,0.8552,0.1322,0.0126
0.774263682681127,0.0,0.9,0.2038,0.0,0.7962
0.774263682681127,0.11,0.9,0.2278,0.0054,0.7668
0.774263682681127,0.22,0.9,0.2688,0.011,0.7202
0.774263682681127,0.33,0.9,0.318,0.0204,0.6616
0.774263682681127,0.44,0.9,0.357,0.0318,0.6112
0.774263682681127,0.55,0.9,0.4182,0.0474,0.5344
0.774263682681127,0.66,0.9,0.4688,0.062,0.4692
0.774263682681127,0.77,0.9,0.5714,0.0844,0.3442
0.774263682681127,0.88,0.9,0.6804,0.1214,0.1982
0.774263682681127,0.99,0.9,0.8112,0.1682,0.0206
1.291549665014884,0.0,0.9,0.0908,0.0,0.9092
1.291549665014884,0.11,0.9,0.1096,0.0062,0.8842
1.291549665014884,0.22,0.9,0.1388,0.0134,0.8478
1.291549665014884,0.33,0.9,0.1734,0.019,0.8076
1.291549665014884,0.44,0.9,0.2134,0.0298,0.7568
1.291549665014884,0.55,0.9,0.2656,0.0468,0.6876
1.291549665014884,0.66,0.9,0.3466,0.0626,0.5908
1.291549665014884,0.77,0.9,0.4452,0.094,0.4608
1.291549665014884,0.88,0.9,0.5598,0.142,0.2982
1.291549665014884,0.99,0.9,0.7548,0.2148,0.0304
2.1544346900318834,0.0,0.9,0.0298,0.0,0.9702
2.1544346900318834,0.11,0.9,0.044,0.0058,0.9502
2.1544346900318834,0.22,0.9,0.0574,0.0156,0.927
2.1544346900318834,0.33,0.9,0.0698,0.021,0.9092
2.1544346900318834,0.44,0.9,0.1132,0.0346,0.8522
2.1544346900318834,0.55,0.9,0.1472,0.044,0.8088
2.1544346900318834,0.66,0.9,0.2052,0.067,0.7278
2.1544346900318834,0.77,0.9,0.2926,0.1066,0.6008
2.1544346900318834,0.88,0.9,0.4368,0.152,0.4112
2.1544346900318834,0.99,0.9,0.6824,0.2732,0.0444
3.593813663804626,0.0,0.9,0.0048,0.0,0.9952
3.593813663804626,0.11,0.9,0.0066,0.0058,0.9876
3.593813663804626,0.22,0.9,0.0108,0.0132,0.976
3.593813663804626,0.33,0.9,0.0214,0.022,0.9566
3.593813663804626,0.44,0.9,0.0354,0.0336,0.931
3.593813663804626,0.55,0.9,0.0562,0.0468,0.897
3.593813663804626,0.66,0.9,0.091,0.07,0.839
3.593813663804626,0.77,0.9,0.1676,0.1044,0.728
3.593813663804626,0.88,0.9,0.294,0.1726,0.5334
3.593813663804626,0.99,0.9,0.5974,0.3288,0.0738
5.994842503189409,0.0,0.9,0.0006,0.0,0.9994
5.994842503189409,0.11,0.9,0.0014,0.0044,0.9942
5.994842503189409,0.22,0.9,0.001,0.012,0.987
5.994842503189409,0.33,0.9,0.0022,0.0246,0.9732
5.994842503189409,0.44,0.9,0.0058,0.0328,0.9614
5.994842503189409,0.55,0.9,0.0132,0.0418,0.945
5.994842503189409,0.66,0.9,0.0308,0.0716,0.8976
5.994842503189409,0.77,0.9,0.0616,0.1046,0.8338
5.994842503189409,0.88,0.9,0.1552,0.1732,0.6716
5.994842503189409,0.99,0.9,0.4894,0.4022,0.1084
10.0,0.0,0.9,0.0,0.0,1.0
10.0,0.11,0.9,0.0,0.0092,0.9908
10.0,0.22,0.9,0.0,0.0116,0.9884
10.0,0.33,0.9,0.0002,0.0256,0.9742
10.0,0.44,0.9,0.0,0.0336,0.9664
10.0,0.55,0.9,0.0004,0.046,0.9536
10.0,0.66,0.9,0.0022,0.0742,0.9236
10.0,0.77,0.9,0.0134,0.103,0.8836
10.0,0.88,0.9,0.0586,0.1828,0.7586
10.0,0.99,0.9,0.3784,0.451,0.1706
